outid,count,opfare
1402024119,47,598
1402024120,32,537
1402024121,38,468
1402024122,20,247
1402024123,34,599
1402024124,27,536
1402024125,44,383
1402024126,36,1203
1402024127,24,798
1402024128,33,921
1402024129,21,223
1402024130,43,515
1402024131,43,804
1402024133,42,993
1402024134,35,495
1402024135,24,1102
1402024136,30,743
1402024137,53,586
1402024138,47,607
1402024139,30,852
1402024140,7,72
1402024141,18,449
1402024142,29,421
1402024143,47,822
1402024144,41,674
1402024145,57,1077
1402024146,24,248
1402024147,53,695
1402024148,28,579
1402024149,31,446
1402024201,23,664
1402024202,29,610
1402024203,30,1151
1402024204,34,845
1402024205,46,633
1402024206,32,653
1402024207,53,608
1402024208,27,434
1402024209,12,72
1402024210,40,254
1402024211,36,821
1402024212,53,629
1402024213,44,621
1402024214,31,419
1402024215,34,583
1402024216,70,798
1402024217,54,467
1402024218,36,511
1402024219,46,682
1402024220,32,199
1402024221,10,42
1402024222,29,456
1402024223,36,528
1402024224,47,495
1402024225,10,54
1402024226,22,130
1402024227,23,119
1402024228,30,222
1402024229,42,296
1402024230,47,767
1402024231,36,665
1402024232,47,468
1402024233,37,529
1402024234,26,236
1402024235,62,493
1402024236,27,297
1402024239,61,507
1402024240,48,814
1402024241,52,710
1402024242,41,502
1402024243,41,846
1402024244,35,463
1402024245,7,36
1402024246,17,90
1402024247,69,832
1402024248,17,132
1402024249,35,309
1402024301,18,150
1402024302,21,505
1402024303,38,696
1402024304,40,1058
1402024305,32,402
1402024306,41,449
1402024307,27,603
1402024308,22,429
1402024309,38,780
1402024310,44,676
1402024311,62,1016
1402024312,62,960
1402024313,45,1088
1402024314,51,826
1402024315,19,207
1402024316,52,1299
1402024317,3,5
1402024318,39,499
1402024319,34,318
1402024321,27,632
1402024322,41,465
1402024323,60,1001
1402024324,32,384
1402024325,43,563
1402024326,45,867
1402024327,57,552
1402024328,23,310
1402024329,6,33
1402024330,43,809
1402024331,11,73
1402024332,59,972
1402024333,34,552
1402024334,47,800
1402024335,60,576
1402024336,36,217
1402024337,35,489
1402024338,20,131
1402024339,27,274
1402024340,70,1271
1402024341,59,1004
1402024342,51,648
1402024344,49,1204
1402024345,46,1500
1402024346,50,941
1402024347,47,609
1402024348,31,609
1402024349,51,1250
1402034101,33,662
1402034102,28,628
1402034103,33,566
1402034104,31,488
1402034105,23,291
1402034106,47,848
1402034107,31,426
1402034108,35,275
1402034109,31,263
1402034110,26,1019
1402034111,29,765
1402034112,49,703
1402034113,45,405
1402034114,13,97
1402034115,37,308
1402034116,47,797
1402034117,17,107
1402034118,10,44
1402034120,41,260
1402034121,33,454
1402034122,48,823
1402034123,2,11
1402034124,54,666
1402034125,32,491
1402034126,10,72
1402034127,33,981
1402034128,16,146
1402034129,29,176
1402034130,15,55
1402034131,38,537
1402034133,13,77
1402034134,55,1045
1402034135,45,597
1402034136,39,1240
1402034137,6,44
1402034138,67,1285
1402034139,10,58
1402034140,5,26
1402034141,45,755
1402034142,53,1025
1402034143,13,141
1402034144,25,242
1402034146,46,529
1402034147,14,33
1402034201,26,785
1402034202,32,670
1402034203,40,780
1402034204,32,657
1402034205,33,595
1402034206,49,641
1402034207,39,632
1402034208,51,665
1402034209,59,895
1402034210,58,655
1402034211,50,811
1402034212,29,793
1402034213,25,306
1402034214,44,634
1402034215,49,608
1402034216,53,882
1402034217,48,676
1402034218,22,342
1402034220,40,624
1402034221,40,584
1402034222,50,904
1402034223,38,814
1402034224,50,539
1402034225,16,373
1402034226,60,743
1402034227,31,525
1402034228,29,644
1402034229,43,647
1402034230,30,243
1402034231,60,1028
1402034232,50,740
1402034233,19,133
1402034234,36,738
1402034235,43,734
1402034236,20,89
1402034237,48,526
1402034238,37,595
1402034239,47,1058
1402034240,21,211
1402034241,48,922
1402034242,49,761
1402034243,42,664
1402034244,62,1186
1402034245,40,520
1402034246,59,1169
1402034247,22,140
1402034301,31,543
1402034302,26,355
1402034303,33,437
1402034304,25,350
1402034305,56,789
1402034306,37,664
1402034307,5,21
1402034308,58,1415
1402034309,49,651
1402034310,45,701
1402034311,26,470
1402034312,33,565
1402034313,39,712
1402034314,47,681
1402034315,46,597
1402034316,43,942
1402034317,45,557
1402034318,35,548
1402034319,29,219
1402034320,35,464
1402034321,45,602
1402034322,55,525
1402034324,55,850
1402034325,38,558
1402034326,58,596
1402034327,42,522
1402034328,38,307
1402034329,26,1082
1402034330,54,721
1402034331,38,440
1402034333,59,800
1402034335,38,1095
1402034336,66,1040
1402034337,39,381
1402034339,46,940
1402034340,40,797
1402034341,29,229
1402034343,54,1125
1402034344,48,948
1402034345,48,620
1402034346,46,576
1402044101,30,890
1402044102,25,341
1402044103,35,693
1402044104,50,737
1402044105,1,49
1402044106,38,442
1402044107,36,445
1402044108,40,745
1402044109,12,215
1402044110,32,356
1402044111,32,363
1402044112,14,166
1402044113,24,291
1402044114,33,536
1402044115,36,582
1402044116,30,454
1402044117,33,439
1402044118,12,244
1402044119,19,161
1402044120,32,579
1402044122,22,354
1402044123,30,205
1402044124,48,599
1402044125,32,399
1402044126,45,1002
1402044127,51,438
1402044128,52,613
1402044129,52,980
1402044130,36,529
1402044131,38,335
1402044132,53,688
1402044133,70,765
1402044134,60,575
1402044135,30,385
1402044136,40,441
1402044137,55,617
1402044138,42,337
1402044139,41,630
1402044140,63,619
1402044141,50,607
1402044142,19,211
1402044143,37,736
1402044144,54,832
1402044145,49,512
1402044146,31,314
1402044147,22,127
1402044148,39,792
1402044150,29,136
1402044151,30,530
1402044152,7,56
1402044153,16,678
1402044154,22,364
1402054102,23,396
1402054103,20,181
1402054104,7,37
1402054106,57,666
1402054107,51,805
1402054108,52,796
1402054109,38,320
1402054110,49,734
1402054111,51,845
1402054113,59,1032
1402054114,56,820
1402054115,49,718
1402054116,39,629
1402054117,39,767
1402054118,54,518
1402054120,49,748
1402054121,49,759
1402054122,71,1213
1402054123,24,344
1402054124,28,358
1402054125,22,182
1402054126,43,755
1402054127,41,563
1402054128,20,107
1402054129,30,496
1402054130,50,790
1402054131,54,563
1402054132,58,671
1402054133,36,562
1402054134,47,672
1402054135,55,811
1402054136,72,1008
1402054137,44,771
1402054138,41,584
1402054139,27,877
1402054140,31,453
1402054141,39,606
1402054142,45,745
1402054143,45,815
1402054144,59,1261
1402054145,46,435
1402054146,34,572
1402054148,55,1127
1402054149,48,512
1402054150,62,698
1402054201,36,677
1402054202,17,119
1402054203,23,363
1402054204,28,823
1402054206,52,459
1402054207,40,422
1402054208,45,433
1402054210,30,146
1402054211,15,53
1402054213,53,665
1402054214,24,160
1402054215,45,698
1402054216,22,139
1402054217,21,76
1402054218,39,574
1402054219,31,296
1402054220,15,53
1402054221,61,676
1402054222,57,595
1402054223,45,525
1402054226,45,827
1402054227,43,253
1402054228,56,1049
1402054229,45,369
1402054230,79,745
1402054231,44,386
1402054232,52,730
1402054233,4,28
1402054234,59,614
1402054235,27,550
1402054237,25,79
1402054238,57,823
1402054239,46,441
1402054240,44,694
1402054241,23,161
1402054242,39,718
1402054243,29,325
1402054244,69,995
1402054245,50,549
1402054246,53,780
1402054249,52,1038
1402054250,36,330
1402054301,37,909
1402054302,18,201
1402054303,49,638
1402054304,28,621
1402054305,62,960
1402054306,61,1029
1402054307,68,1030
1402054308,35,653
1402054309,80,1366
1402054310,60,1154
1402054311,68,864
1402054313,51,733
1402054314,47,439
1402054315,28,153
1402054316,44,962
1402054317,44,667
1402054318,62,599
1402054319,29,299
1402054320,65,838
1402054321,48,769
1402054322,51,532
1402054323,35,791
1402054324,29,529
1402054325,36,164
1402054327,47,757
1402054328,40,679
1402054329,33,543
1402054330,57,917
1402054332,22,232
1402054333,42,400
1402054334,17,546
1402054335,54,737
1402054336,62,563
1402054337,44,573
1402054338,44,245
1402054339,47,726
1402054340,55,574
1402054341,68,871
1402054342,47,663
1402054343,32,333
1402054344,41,366
1402054345,42,277
1402054347,24,331
1402054348,22,98
1402054349,54,729
1402054350,27,178
1402064101,36,613
1402064102,18,401
1402064103,39,1327
1402064104,17,308
1402064105,37,295
1402064106,71,850
1402064107,57,594
1402064109,67,1248
1402064110,47,1017
1402064111,47,664
1402064112,62,1262
1402064113,48,325
1402064114,48,667
1402064115,56,783
1402064116,62,1148
1402064118,65,1008
1402064119,52,965
1402064120,56,807
1402064121,48,369
1402064122,52,559
1402064123,39,409
1402064124,35,317
1402064125,53,678
1402064126,51,466
1402064127,52,602
1402064128,47,833
1402064129,63,641
1402064130,35,594
1402064131,40,660
1402064132,32,474
1402064133,47,812
1402064134,72,1270
1402064135,84,1166
1402064136,46,541
1402064137,32,608
1402064138,65,1211
1402064139,65,784
1402064140,20,137
1402064141,59,894
1402064142,56,815
1402064143,30,166
1402064144,27,236
1402064145,70,1018
1402064146,65,1193
1402064147,54,688
1402064148,53,762
1402064149,54,1040
1402064151,38,1184
1402064152,71,919
1402064153,49,588
1402064154,52,599
1402064155,52,828
1402064156,27,246
1402064157,48,528
